word,display_form,part_of_speech,difficulty,frequency_rank,source,created_at
academe,academe,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
academia,academia,,level_1,,,2025-08-29 16:02:33
academic,academic,,level_1,,,2025-08-29 16:02:33
academician,academician,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
accede,accede,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
accelerate,accelerate,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
accelerator,accelerator,,level_1,,,2025-08-29 16:02:32
accent,accent,,level_1,,,2025-08-29 16:02:32
accentuate,accentuate,,level_1,,,2025-08-29 16:02:32
acceptable,acceptable,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
acceptance,acceptance,,level_1,,,2025-08-29 16:02:33
accessible,accessible,,level_1,,,2025-08-29 16:02:34
accessory,accessory,,level_1,,,2025-08-29 16:02:33
accidental,accidental,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
acclaim,acclaim,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
acclamation,acclamation,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
acclivity,acclivity,,level_1,,,2025-08-29 16:02:33
accolade,accolade,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
accommodate,accommodate,,level_1,,,2025-08-29 16:02:32
accompaniment,accompaniment,,level_1,,,2025-08-29 16:02:33
accompany,accompany,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
accompanying,accompanying,,level_1,,,2025-08-29 16:02:32
accomplish,accomplish,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
accord,accord,,level_1,,,2025-08-29 16:02:33
accordingly,Accordingly,,,,words - Sheet3.csv,2025-08-29 16:02:34
accost,accost,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
accountant,accountant,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
accrue,accrue,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
accumbent,accumbent,,level_1,,,2025-08-29 16:02:33
accumulate,accumulate,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
accumulation,accumulation,,level_1,,,2025-08-29 16:02:33
accumulative,accumulative,,level_1,,,2025-08-29 16:02:32
accuracy,Accuracy,,,,words - Sheet2.csv,2025-08-29 16:02:34
accurate,accurate,,level_1,,,2025-08-29 16:02:34
accuse,accuse,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
accustomed,accustomed,,level_1,,,2025-08-29 16:02:33
ace,ace,,level_1,,,2025-08-29 16:02:33
acerb,acerb,,level_1,,,2025-08-29 16:02:34
acerbate,acerbate,,level_1,,,2025-08-29 16:02:34
acerbic,acerbic,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
acerbity,acerbity,,level_1,,,2025-08-29 16:02:34
acetic,acetic,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
achieve,achieve,,level_1,,,2025-08-29 16:02:32
achievement,achievement,,level_1,,,2025-08-29 16:02:34
acid,acid,,level_1,,,2025-08-29 16:02:34
acknowledge,acknowledge,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
acknowledgement,acknowledgement,,level_1,,,2025-08-29 16:02:32
acknowledgment,acknowledgment,,level_1,,,2025-08-29 16:02:32
acme,acme,,level_1,,,2025-08-29 16:02:33
acolyte,acolyte,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
acquaintance,acquaintance,,level_1,,,2025-08-29 16:02:33
acquiesce,acquiesce,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
acquiescence,acquiescence,,level_1,,,2025-08-29 16:02:33
acquired,Acquired,,,,words - Sheet2.csv,2025-08-29 16:02:34
acquisition,Acquisition,,,,words - Sheet3.csv,2025-08-29 16:02:34
acquit,acquit,,level_1,,,2025-08-29 16:02:34
acquittal,acquittal,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
acrid,acrid,,level_1,,,2025-08-29 16:02:34
acrimonious,acrimonious,,level_1,,,2025-08-29 16:02:32
acrimony,acrimony,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
acronym,acronym,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
action,action,,level_1,,,2025-08-29 16:02:32
action for change,action for change,,level_1,,,2025-08-29 16:02:33
activate,activate,,level_1,,,2025-08-29 16:02:33
activity,activity,,level_1,,,2025-08-29 16:02:34
actual,actual,,level_1,,,2025-08-29 16:02:32
actuate,actuate,,level_1,,,2025-08-29 16:02:32
acuity,acuity,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
acumen,acumen,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
acute,acute,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
ad valorem tax,ad valorem tax,,level_1,,,2025-08-29 16:02:32
ad-lib,ad-lib,,level_1,,,2025-08-29 16:02:33
adage,adage,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adamant,adamant,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adamantine,adamantine,,level_1,,,2025-08-29 16:02:33
adapt,adapt,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
adaptable,adaptable,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adaptation,adaptation,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
adaptative,adaptative,,level_1,,,2025-08-29 16:02:33
adaptive,adaptive,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
add on,add on,,level_1,,,2025-08-29 16:02:33
addiction,addiction,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
addle,addle,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
address,address,,level_1,,,2025-08-29 16:02:34
adept,adept,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adeptness,adeptness,,level_1,,,2025-08-29 16:02:32
adequate,adequate,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
adhere,adhere,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adherence,adherence,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adherent,adherent,,level_1,,,2025-08-29 16:02:33
adhesion,adhesion,,level_1,,,2025-08-29 16:02:33
adiposis,adiposis,,level_1,,,2025-08-29 16:02:34
adjacent,adjacent,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
adjoin,adjoin,,level_1,,,2025-08-29 16:02:33
adjudicate,adjudicate,,level_1,,,2025-08-29 16:02:32
adjunct,adjunct,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adjure,adjure,,level_1,,,2025-08-29 16:02:33
adjust,adjust,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
adjuvant,adjuvant,,level_1,,,2025-08-29 16:02:33
administer,administer,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
administrate,administrate,,level_1,,,2025-08-29 16:02:32
admirable,admirable,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
admire,admire,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
admirer,admirer,,level_1,,,2025-08-29 16:02:33
admit,admit,,level_1,,,2025-08-29 16:02:32
admonish,admonish,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adolescent,adolescent,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
adopt,adopt,,level_1,,,2025-08-29 16:02:33
adoration,adoration,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adoring,adoring,,level_1,,,2025-08-29 16:02:33
adorn,adorn,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adroit,adroit,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adulation,adulation,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
adulterate,adulterate,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
adulthood,adulthood,,level_1,,,2025-08-29 16:02:33
adumbrate,adumbrate,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
advance,advance,,level_1,,,2025-08-29 16:02:33
advanced,advanced,,level_1,,,2025-08-29 16:02:32
advantage,advantage,,level_1,,,2025-08-29 16:02:34
advantageous,advantageous,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
advent,advent,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adventure,adventure,,level_1,,,2025-08-29 16:02:33
adventuresome,adventuresome,,level_1,,,2025-08-29 16:02:33
adventurous,adventurous,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adversarial,Adversarial,,,,words - Sheet3.csv,2025-08-29 16:02:34
adversary,adversary,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
adverse,adverse,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
adversity,adversity,,level_1,,,2025-08-29 16:02:33
advert,advert,,level_1,,,2025-08-29 16:02:32
advise,advise,,level_1,,,2025-08-29 16:02:34
advocacy,advocacy,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
advocate,advocate,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
advocator,advocator,,level_1,,,2025-08-29 16:02:33
aeon,aeon,,level_1,,,2025-08-29 16:02:33
aeonian,aeonian,,level_1,,,2025-08-29 16:02:33
aerate,aerate,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
aerial,aerial,,level_1,,,2025-08-29 16:02:33
aerie,aerie,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
aeriform,aeriform,,level_1,,,2025-08-29 16:02:33
aery,aery,,level_1,,,2025-08-29 16:02:33
aesthesis,aesthesis,,level_1,,,2025-08-29 16:02:33
aesthete,aesthete,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
aesthetic,aesthetic,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
aesthetical,aesthetical,,level_1,,,2025-08-29 16:02:33
affable,affable,,level_1,,,2025-08-29 16:02:33
affair,affair,,level_1,,,2025-08-29 16:02:33
affaire,affaire,,level_1,,,2025-08-29 16:02:33
affect,affect,,level_1,,,2025-08-29 16:02:34
affectation,affectation,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
affectedness,affectedness,,level_1,,,2025-08-29 16:02:34
affecting,affecting,,level_1,,,2025-08-29 16:02:33
affection,affection,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
affectionate,affectionate,,level_1,,,2025-08-29 16:02:33
affectionateness,affectionateness,,level_1,,,2025-08-29 16:02:33
affiance,affiance,,level_1,,,2025-08-29 16:02:34
affiliate,affiliate,,level_1,,,2025-08-29 16:02:33
affinity,affinity,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
affirm,affirm,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
affirmation,affirmation,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
affix,affix,,level_1,,,2025-08-29 16:02:33
afflict,afflict,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
affliction,affliction,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
affluence,affluence,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
affluent,affluent,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
afford,afford,,level_1,,,2025-08-29 16:02:32
affordable,affordable,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
affranchise,affranchise,,level_1,,,2025-08-29 16:02:34
affray,affray,,level_1,,,2025-08-29 16:02:33
affright,affright,,level_1,,,2025-08-29 16:02:33
affront,affront,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
ageless,ageless,,level_1,,,2025-08-29 16:02:33
aggrandise,aggrandise,,level_1,,,2025-08-29 16:02:33
aggrandize,aggrandize,,level_1,,,2025-08-29 16:02:33
aggravate,aggravate,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
aggregate,aggregate,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
aggregated,aggregated,,level_1,,,2025-08-29 16:02:32
aggregation,aggregation,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
aggregative,aggregative,,level_1,,,2025-08-29 16:02:32
aggression,aggression,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
aggressive,aggressive,adj,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
aggressiveness,aggressiveness,,level_1,,,2025-08-29 16:02:34
aghast,aghast,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
agile,agile,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
agility,agility,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
agitate,agitate,,level_1,,,2025-08-29 16:02:32
agitation,agitation,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
aglow,aglow,,level_1,,,2025-08-29 16:02:33
agnostic,agnostic,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
agonising,agonising,,level_1,,,2025-08-29 16:02:34
agonizing,agonizing,,level_1,,,2025-08-29 16:02:34
agony,agony,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
agrarian,agrarian,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
agree,agree,,level_1,,,2025-08-29 16:02:33
agreeing,agreeing,,level_1,,,2025-08-29 16:02:34
agreement,agreement,,level_1,,,2025-08-29 16:02:32
agricultural,agricultural,,level_1,,,2025-08-29 16:02:33
ailment,ailment,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
aim,aim,,level_1,,,2025-08-29 16:02:33
air,air,,level_1,,,2025-08-29 16:02:33
air castle,air castle,,level_1,,,2025-08-29 16:02:34
air out,air out,,level_1,,,2025-08-29 16:02:33
airdock,airdock,,level_1,,,2025-08-29 16:02:33
airing,airing,,level_1,,,2025-08-29 16:02:33
airt,airt,,level_1,,,2025-08-29 16:02:32
airy,airy,,level_1,,,2025-08-29 16:02:33
ajar,ajar,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
akin,akin,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
alacrity,alacrity,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
alarm,alarm,,level_1,,,2025-08-29 16:02:33
albeit,albeit,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
alchemy,alchemy,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
alcove,alcove,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
alert,alert,,level_1,,,2025-08-29 16:02:33
alias,alias,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
alien,alien,,level_1,,,2025-08-29 16:02:32
alienate,alienate,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
alight,alight,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
alignment,alignment,,level_1,,,2025-08-29 16:02:32
aliment,aliment,,level_1,,,2025-08-29 16:02:34
alimental,alimental,,level_1,,,2025-08-29 16:02:33
alimentary,alimentary,,level_1,,,2025-08-29 16:02:33
alimentation,alimentation,,level_1,,,2025-08-29 16:02:34
alimony,alimony,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
alinement,alinement,,level_1,,,2025-08-29 16:02:32
all the same,all the same,,level_1,,,2025-08-29 16:02:32
allay,allay,,level_1,,,2025-08-29 16:02:33
allege,allege,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
allegory,allegory,,level_1,,,2025-08-29 16:02:33
alleviant,alleviant,,level_1,,,2025-08-29 16:02:33
alleviate,alleviate,,level_1,,,2025-08-29 16:02:32
alleviator,alleviator,,level_1,,,2025-08-29 16:02:33
alliance,alliance,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
allocate,allocate,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
allocation,allocation,,level_1,,,2025-08-29 16:02:33
allot,allot,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
allotment,allotment,,level_1,,,2025-08-29 16:02:33
allow,Allow,,,,words - Sheet3.csv,2025-08-29 16:02:34
alloy,alloy,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
allude,allude,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
allure,allure,,level_1,,,2025-08-29 16:02:33
allurement,allurement,,level_1,,,2025-08-29 16:02:34
allusion,allusion,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
allusive,allusive,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:34
alluvion,alluvion,,level_1,,,2025-08-29 16:02:32
ally,ally,n,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
aloft,aloft,adv,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
alone,alone,,level_1,,,2025-08-29 16:02:33
aloof,aloof,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
alter,alter,v,hard,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:32
alteration,alteration,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
alterative,alterative,,level_1,,,2025-08-29 16:02:32
altercation,altercation,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
alternate,alternate,,level_1,,,2025-08-29 16:02:33
altitude,altitude,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
altruism,altruism,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
altruist,altruist,,level_1,,,2025-08-29 16:02:33
altruistic,altruistic,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
amalgam,amalgam,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
amalgamate,amalgamate,,level_1,,,2025-08-29 16:02:33
amalgamation,amalgamation,,level_1,,,2025-08-29 16:02:32
amass,amass,,level_1,,,2025-08-29 16:02:32
amative,amative,,level_1,,,2025-08-29 16:02:33
amaze,amaze,,level_1,,,2025-08-29 16:02:33
amazement,amazement,,level_1,,,2025-08-29 16:02:33
amazing,amazing,,level_1,,,2025-08-29 16:02:33
ambage,ambage,,level_1,,,2025-08-29 16:02:34
ambiguity,ambiguity,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
ambiguous,ambiguous,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
ambition,ambition,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
ambitious,ambitious,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
ambivalence,ambivalence,n,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
ambivalency,ambivalency,,level_1,,,2025-08-29 16:02:33
ambivalent,ambivalent,adj,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
amble,amble,v,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
ambo,ambo,,level_1,,,2025-08-29 16:02:33
ambulatory,ambulatory,,SAT,,sesamewords_leveled_list_with_mnemonics.csv,2025-08-29 16:02:33
ambuscade,ambuscade,,level_1,,,2025-08-29 16:02:34
ambush,ambush,,level_1,,,2025-08-29 16:02:34
